Rep	Year	RepSeason	Species	IndID	Status	Natal_X	Natal_Y	X	Y	Sex	ProbViable	DistMoved
0	0	0	0	9828	0	7	75	7	75	1	0.934602	0
0	0	0	0	9824	0	7	75	7	75	1	0.953071	0
0	0	0	0	9821	0	7	75	7	75	1	0.948639	0
0	0	0	0	9822	0	7	75	7	75	1	0.953241	0
0	0	0	0	9827	0	7	75	7	75	0	0.939161	0
0	0	0	0	9820	0	7	75	7	75	1	0.947285	0
0	0	0	0	9819	0	7	75	7	75	0	0.938312	0
0	0	0	0	9825	0	7	75	7	75	0	0.940857	0
0	0	0	0	9815	0	7	75	7	75	0	0.937183	0
0	0	0	0	9816	0	7	75	7	75	0	0.937495	0
0	0	0	0	9823	0	7	75	7	75	0	0.948294	0
0	0	0	0	10406	4	7	73	7	75	0	0.941023	200
0	0	0	0	14483	5	5	74	7	75	1	0.939639	223.607
0	0	0	0	14899	4	5	75	7	75	1	0.94415	200
0	0	0	0	9839	0	19	72	19	72	1	0.936369	0
0	0	0	0	9836	0	19	72	19	72	0	0.951129	0
0	0	0	0	9833	0	19	72	19	72	0	0.949095	0
0	0	0	0	9834	0	19	72	19	72	1	0.944959	0
0	0	0	0	9842	0	19	72	19	72	1	0.934828	0
0	0	0	0	9845	0	19	72	19	72	1	0.936317	0
0	0	0	0	9831	0	19	72	19	72	0	0.940448	0
0	0	0	0	9844	0	19	72	19	72	0	0.942753	0
0	0	0	0	9829	0	19	72	19	72	1	0.939197	0
0	0	0	0	9840	0	19	72	19	72	0	0.938273	0
0	0	0	0	9835	0	19	72	19	72	1	0.947046	0
0	0	0	0	9830	0	19	72	19	72	1	0.946075	0
0	0	0	0	9838	0	19	72	19	72	1	0.935901	0
0	0	0	0	9837	0	19	72	19	72	0	0.941619	0
0	0	0	0	9832	0	19	72	19	72	0	0.943025	0
0	0	0	0	10841	5	17	72	19	72	1	0.945679	200
0	0	0	0	9851	0	2	145	2	145	0	0.942903	0
0	0	0	0	9848	0	2	145	2	145	1	0.939284	0
0	0	0	0	9849	0	2	145	2	145	1	0.938217	0
0	0	0	0	9863	0	18	61	18	61	1	0.934875	0
0	0	0	0	9860	0	18	61	18	61	0	0.937363	0
0	0	0	0	9857	0	18	61	18	61	0	0.938098	0
0	0	0	0	9858	0	18	61	18	61	0	0.946111	0
0	0	0	0	9865	0	18	61	18	61	0	0.941121	0
0	0	0	0	9856	0	18	61	18	61	0	0.941469	0
0	0	0	0	9855	0	18	61	18	61	0	0.93462	0
0	0	0	0	9861	0	18	61	18	61	1	0.94322	0
0	0	0	0	9852	0	18	61	18	61	1	0.944735	0
0	0	0	0	9864	0	18	61	18	61	0	0.942251	0
0	0	0	0	9859	0	18	61	18	61	1	0.942906	0
0	0	0	0	9853	0	18	61	18	61	1	0.939035	0
0	0	0	0	9862	0	18	61	18	61	0	0.927083	0
0	0	0	0	9879	0	5	100	5	100	1	0.941873	0
0	0	0	0	9876	0	5	100	5	100	0	0.94326	0
0	0	0	0	9887	0	5	100	5	100	1	0.944762	0
0	0	0	0	9894	0	5	100	5	100	0	0.942385	0
0	0	0	0	9881	0	5	100	5	100	0	0.938753	0
0	0	0	0	9883	0	5	100	5	100	1	0.930549	0
0	0	0	0	9869	0	5	100	5	100	0	0.936357	0
0	0	0	0	9882	0	5	100	5	100	1	0.933235	0
0	0	0	0	9888	0	5	100	5	100	1	0.939295	0
0	0	0	0	9880	0	5	100	5	100	0	0.936574	0
0	0	0	0	9875	0	5	100	5	100	1	0.931624	0
0	0	0	0	9884	0	5	100	5	100	1	0.944748	0
0	0	0	0	9878	0	5	100	5	100	0	0.941481	0
0	0	0	0	9892	0	5	100	5	100	1	0.942989	0
0	0	0	0	9886	0	5	100	5	100	1	0.929812	0
0	0	0	0	9867	0	5	100	5	100	1	0.94705	0
0	0	0	0	9870	0	5	100	5	100	1	0.937598	0
0	0	0	0	9872	0	5	100	5	100	0	0.934379	0
0	0	0	0	9889	0	5	100	5	100	0	0.933715	0
0	0	0	0	9866	0	5	100	5	100	0	0.942114	0
0	0	0	0	9877	0	5	100	5	100	1	0.945942	0
0	0	0	0	9893	0	5	100	5	100	0	0.939297	0
0	0	0	0	9891	0	5	100	5	100	0	0.937898	0
0	0	0	0	9873	0	5	100	5	100	1	0.935948	0
0	0	0	0	14091	4	5	99	5	100	0	0.936069	100
0	0	0	0	14100	4	5	99	5	100	1	0.948996	100
0	0	0	0	14994	5	2	103	5	100	1	0.932038	424.264
0	0	0	0	9900	0	12	137	12	137	1	0.939071	0
0	0	0	0	9896	0	12	137	12	137	0	0.937542	0
0	0	0	0	9897	0	12	137	12	137	1	0.93325	0
0	0	0	0	9914	0	1	109	1	109	1	0.942719	0
0	0	0	0	9911	0	1	109	1	109	1	0.932575	0
0	0	0	0	9922	0	1	109	1	109	0	0.936861	0
0	0	0	0	9929	0	1	109	1	109	0	0.936119	0
0	0	0	0	9916	0	1	109	1	109	1	0.939709	0
0	0	0	0	9930	0	1	109	1	109	0	0.937303	0
0	0	0	0	9905	0	1	109	1	109	1	0.938173	0
0	0	0	0	9917	0	1	109	1	109	1	0.93956	0
0	0	0	0	9923	0	1	109	1	109	0	0.939192	0
0	0	0	0	9915	0	1	109	1	109	0	0.949606	0
0	0	0	0	9910	0	1	109	1	109	0	0.945546	0
